,name,github_id,resource,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,labels,license,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads,conda_id,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,brew_id,maven_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,conda_dependent_project_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,licenses,apt_id
423,velruse,bbangert/velruse,,auth,https://github.com/bbangert/velruse,https://github.com/bbangert/velruse,2010-04-30 19:23:27.000000,2020-05-12 14:00:34.000000,2013-10-06 19:17:50.000000,91.0,37.0,34.0,253.0,559.0,Simplifying third-party authentication for web applications.,44.0,22,False,,MIT,2013-08-30 04:51:31.000000,1.1.1,10.0,,1720.0,,velruse,218.0,146.0,https://pypi.org/project/velruse,2013-08-30 04:51:31.000000,72.0,1720.0,,,,3.0,,,,,,,,,,,,,,,,,,
424,python-mocket,mindflayer/python-mocket,,testing,https://github.com/mindflayer/python-mocket,https://github.com/mindflayer/python-mocket,2013-04-30 07:44:28.000000,2021-02-21 17:29:45.000000,2021-02-21 17:29:33.000000,33.0,2.0,47.0,208.0,433.0,"a socket mock framework - for all kinds of socket animals, web-clients included.",19.0,22,True,,BSD-3-Clause,2021-01-21 16:40:23.000000,3.9.40,72.0,,2585.0,,mocket,94.0,48.0,https://pypi.org/project/mocket,2021-01-21 16:39:03.000000,46.0,2585.0,,,,3.0,,,,,,,,,,,,,,,,,,
425,django-graphql-auth,PedroBern/django-graphql-auth,,graphql,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,2020-01-15 16:36:01.000000,2021-02-19 18:00:17.000000,2020-11-16 13:11:01.000000,34.0,37.0,32.0,191.0,256.0,Django registration and authentication with GraphQL.,14.0,22,True,['django'],MIT,2020-11-16 13:18:58.000000,0.3.15,37.0,,2890.0,,django-graphql-auth,101.0,101.0,https://pypi.org/project/django-graphql-auth,2020-11-16 13:18:58.000000,,2890.0,,,,3.0,,,,,,,,,,,,,,,,,,
426,flask-s3,e-dard/flask-s3,,flask-utils,https://github.com/e-dard/flask-s3,https://github.com/e-dard/flask-s3,2012-10-01 18:08:11.000000,2021-01-27 14:53:40.000000,2017-07-19 05:38:58.000000,87.0,14.0,34.0,179.0,157.0,Seamlessly serve your static assets of your Flask app from Amazon S3.,26.0,22,False,,WTFPL,2017-02-23 20:44:59.000000,0.3.3,28.0,20.0,2455.0,,flask-s3,475.0,307.0,https://pypi.org/project/flask-s3,2017-02-23 20:44:59.000000,168.0,2455.0,,,,3.0,,,,,,,,,,,,,,,,,,
427,markdown-it-py,executablebooks/markdown-it-py,,markdown,https://github.com/executablebooks/markdown-it-py,https://github.com/executablebooks/markdown-it-py,2020-03-25 11:10:01.000000,2021-02-25 11:12:02.000000,2021-02-25 00:37:56.000000,20.0,24.0,22.0,146.0,173.0,"Markdown parser, done right. 100% CommonMark support, extensions, syntax plugins & high speed. Now in Python!.",11.0,22,True,,MIT,2021-02-06 23:44:21.000000,0.6.2,32.0,,48573.0,conda-forge/markdown-it-py,markdown-it-py,221.0,221.0,https://pypi.org/project/markdown-it-py,2021-02-06 23:44:21.000000,0.0,43459.0,https://anaconda.org/conda-forge/markdown-it-py,2021-02-07 00:49:46.874000,56264.0,3.0,,,,,,,,,,,,,,,,,,
428,AutoScraper,alirezamika/autoscraper,,web-scraping,https://github.com/alirezamika/autoscraper,https://github.com/alirezamika/autoscraper,2020-08-31 12:02:19.000000,2021-02-03 21:12:16.000000,2021-02-03 21:12:16.000000,313.0,3.0,29.0,3340.0,134.0,"A Smart, Automatic, Fast and Lightweight Web Scraper for Python.",6.0,21,True,,MIT,2021-01-23 17:11:12.000000,1.1.12,15.0,,566.0,,autoscraper,23.0,23.0,https://pypi.org/project/autoscraper,2021-01-23 17:11:12.000000,,566.0,,,,3.0,,,,,,,,,,,,,,,,,,
429,Wooey,wooey/wooey,,web-ui,https://github.com/wooey/Wooey,https://github.com/wooey/Wooey,2015-03-01 16:47:05.000000,2020-08-23 15:14:54.000000,2020-08-23 15:14:53.000000,167.0,54.0,141.0,1535.0,887.0,A Django app that creates automatic web UIs for Python scripts.,22.0,21,True,,BSD-3-Clause,2020-04-16 02:58:59.000000,0.12.0,30.0,,322.0,,wooey,30.0,29.0,https://pypi.org/project/wooey,2020-04-16 02:56:01.000000,1.0,322.0,,,,3.0,,,,,,,,,,,,,,,,,,
430,wdb,Kozea/wdb,,testing,https://github.com/Kozea/wdb,https://github.com/Kozea/wdb,2012-10-05 16:40:23.000000,2020-06-06 14:17:29.000000,2019-09-16 09:29:29.000000,103.0,33.0,79.0,1508.0,658.0,An improbable web debugger through WebSockets.,22.0,21,False,,GPL-3.0,2019-09-16 09:25:54.000000,3.3.0,53.0,,2176.0,,wdb,141.0,85.0,https://pypi.org/project/wdb,2019-09-16 09:25:54.000000,56.0,2176.0,,,,3.0,,,,,,,,,,,,,,,,,,
431,ruia,howie6879/ruia,,web-scraping,https://github.com/howie6879/ruia,https://github.com/howie6879/ruia,2018-07-10 01:12:54.000000,2021-02-06 02:23:20.000000,2021-02-06 02:22:47.000000,143.0,3.0,76.0,1359.0,414.0,Async Python 3.6+ web scraping micro-framework based on asyncio.,12.0,21,True,,Apache-2.0,2021-02-06 02:23:20.000000,0.8.2,52.0,10.0,64.0,,ruia,50.0,44.0,https://pypi.org/project/ruia,2021-02-06 02:23:20.000000,6.0,64.0,,,,3.0,,,,,,,,,,,,,,,,,,
432,Strawberry GraphQL,strawberry-graphql/strawberry,,graphql,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,2018-12-21 08:56:55.000000,2021-02-25 13:54:03.000000,2021-02-22 09:06:10.000000,88.0,65.0,97.0,856.0,1202.0,A new GraphQL library for Python.,51.0,21,True,['graphql'],MIT,2021-02-16 08:50:45.000000,0.45.4,169.0,384.0,5426.0,,strawberry-graphql,2.0,,https://pypi.org/project/strawberry-graphql,2021-02-16 08:50:50.000000,2.0,5388.0,,,,3.0,,,,,,,,,,,,,,,,,,
