,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,labels,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads,conda_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,brew_id,maven_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,apt_id,licenses
108,bleach,mozilla/bleach,html-processing,,https://github.com/mozilla/bleach,https://github.com/mozilla/bleach,Apache-2.0,2010-02-19 01:12:41.000,2023-06-29 11:25:40.000,2023-01-23 18:07:53,892.0,253,45.0,332.0,33.0,337.0,2529,Bleach is an allowed-list-based HTML sanitizing library that escapes or strips markup and attributes.,271003.0,258447.0,78.0,35,True,,,2023-01-23 16:40:54.346,6.0.0,53.0,,15643259.0,conda-forge/bleach,bleach,https://pypi.org/project/bleach,2022-06-27 14:39:57.000,12556.0,15469313.0,https://anaconda.org/conda-forge/bleach,2023-06-16 13:24:47.323,13567855.0,2.0,,,,,,,,,,,,,,,,,,
109,python-markdown2,trentm/python-markdown2,markdown,,https://github.com/trentm/python-markdown2,https://github.com/trentm/python-markdown2,MIT,2011-01-31 00:30:02.000,2023-07-10 18:58:05.000,2023-06-27 16:40:55,1010.0,439,63.0,227.0,93.0,204.0,2483,markdown2: A fast and complete implementation of Markdown in Python.,20707.0,18301.0,72.0,35,True,,26.0,2023-06-22 20:15:03.851,2.4.9,50.0,,1862375.0,,markdown2,https://pypi.org/project/markdown2,2022-09-25 22:49:18.968,2406.0,1862375.0,,,,2.0,,,,,,,,,,,,,,,,,,
110,django-model-utils,jazzband/django-model-utils,django-utils,,https://github.com/jazzband/django-model-utils,https://github.com/jazzband/django-model-utils,BSD-3-Clause,2009-11-10 06:18:00.000,2023-07-19 22:40:33.000,2023-06-16 13:34:47,964.0,359,45.0,297.0,132.0,168.0,2482,Django model mixins and utilities.,26558.0,21699.0,132.0,35,True,['django'],14.0,2023-06-16 06:13:31.000,4.3.1,39.0,,1017141.0,,django-model-utils,https://pypi.org/project/django-model-utils,2022-11-16 00:15:44.883,4859.0,1017141.0,,,,2.0,,,,,,,,,,,,,,,,,,
111,python-zeep,mvantellingen/python-zeep,http-clients,,https://github.com/mvantellingen/python-zeep,https://github.com/mvantellingen/python-zeep,MIT,2016-02-14 10:31:07.000,2023-07-20 15:31:54.183,2023-03-17 12:05:15,1472.0,566,69.0,355.0,425.0,670.0,1804,A Python SOAP client.,7522.0,6884.0,140.0,35,True,,,2023-07-20 15:31:54.183,0.0.1,65.0,,8108221.0,conda-forge/zeep,zeep,https://pypi.org/project/zeep,2022-11-20 20:39:08.463,638.0,8105697.0,https://anaconda.org/conda-forge/zeep,2023-06-16 13:24:15.406,191862.0,2.0,,,,,,,,,,,,,,,,,,
112,drf-spectacular,tfranzel/drf-spectacular,openapi-utils,,https://github.com/tfranzel/drf-spectacular,https://github.com/tfranzel/drf-spectacular,BSD-3-Clause,2020-03-01 22:36:54.000,2023-07-18 19:14:00.000,2023-07-17 16:59:02,1121.0,208,12.0,274.0,62.0,700.0,1750,Sane and flexible OpenAPI 3 schema generation for Django REST framework.,54649.0,54596.0,101.0,35,True,['openapi'],35.0,2023-06-22 16:09:52.000,0.26.3,59.0,,1037425.0,conda-forge/drf-spectacular,drf-spectacular,https://pypi.org/project/drf-spectacular,2023-06-22 16:03:01.263,53.0,1036535.0,https://anaconda.org/conda-forge/drf-spectacular,2023-07-10 15:42:30.729,19585.0,2.0,,,,,,,,,,,,,,,,,,
113,feedparser,kurtmckee/feedparser,web-scraping,,https://github.com/kurtmckee/feedparser,https://github.com/kurtmckee/feedparser,BSD-2-Clause,2010-11-26 02:53:24.000,2023-07-18 10:14:06.000,2023-07-18 10:14:05,1290.0,315,48.0,146.0,72.0,163.0,1659,Parse feeds in Python.,75531.0,68091.0,54.0,35,True,,29.0,2022-05-21 13:54:10.000,6.0.10,23.0,,2186176.0,conda-forge/feedparser,feedparser,https://pypi.org/project/feedparser,2022-05-21 13:54:10.000,7440.0,2171774.0,https://anaconda.org/conda-forge/feedparser,2023-06-16 19:19:23.894,547308.0,1.0,,,,,,,,,,,,,,,,,,
114,flask-wtf,wtforms/flask-wtf,forms,,https://github.com/wtforms/flask-wtf,https://github.com/wtforms/flask-wtf,BSD-3-Clause,2012-02-29 16:38:52.000,2023-07-20 11:28:55.000,2023-07-04 04:07:49,778.0,307,31.0,249.0,42.0,289.0,1382,"Simple integration of Flask and WTForms, including CSRF, file upload and Recaptcha integration.",198314.0,181931.0,97.0,35,True,['flask'],6.0,2023-01-17 19:28:30.000,1.1.1,47.0,,5507041.0,conda-forge/flask-wtf,flask-wtf,https://pypi.org/project/flask-wtf,2023-01-17 19:28:02.711,16383.0,5505024.0,https://anaconda.org/conda-forge/flask-wtf,2023-06-16 13:18:03.568,169428.0,3.0,,,,,,,,,,,,,,,,,,
115,django-phonenumber-field,stefanfoulis/django-phonenumber-field,django-utils,,https://github.com/stefanfoulis/django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,MIT,2011-08-31 17:52:05.000,2023-07-17 13:01:54.000,2023-07-17 07:25:03,563.0,312,24.0,356.0,11.0,194.0,1374,A django model and form field for normalised phone numbers using python-phonenumbers.,22395.0,21530.0,113.0,35,True,['django'],13.0,2023-04-26 20:45:01.333,7.1.0,33.0,13.0,719746.0,,django-phonenumber-field,https://pypi.org/project/django-phonenumber-field,2023-04-26 20:45:01.333,865.0,719746.0,,,,2.0,,,,,,,,,,,,,,,,,,
116,opentelemetry-python,open-telemetry/opentelemetry-python,monitoring,,https://github.com/open-telemetry/opentelemetry-python,https://github.com/open-telemetry/opentelemetry-python,Apache-2.0,2019-05-07 21:13:30.000,2023-07-19 19:48:34.000,2023-07-17 15:28:40,1461.0,470,37.0,1805.0,205.0,1210.0,1327,OpenTelemetry Python API and SDK.,4788.0,4784.0,196.0,35,True,,36.0,2023-07-13 14:43:41.000,1.19.0,50.0,,36088.0,conda-forge/opentelemetry-api,timing-asgi,https://pypi.org/project/timing-asgi,2022-11-21 10:50:01.212,4.0,28609.0,https://anaconda.org/conda-forge/opentelemetry-api,2023-07-13 15:58:07.258,254302.0,1.0,,,,,,,,,,,,,,,,,,
117,SeleniumLibrary,robotframework/SeleniumLibrary,testing,,https://github.com/robotframework/SeleniumLibrary,https://github.com/robotframework/SeleniumLibrary,Apache-2.0,2011-10-22 08:01:34.000,2023-06-29 00:25:42.000,2023-05-14 10:54:33,2200.0,710,146.0,823.0,70.0,950.0,1252,Web testing library for Robot Framework.,3852.0,3717.0,114.0,35,True,,24.0,2023-05-06 11:16:52.000,6.1.0,52.0,3565.0,817847.0,conda-forge/robotframework-seleniumlibrary,robotframework-seleniumlibrary,https://pypi.org/project/robotframework-seleniumlibrary,2022-01-08 23:53:44.000,135.0,816666.0,https://anaconda.org/conda-forge/robotframework-seleniumlibrary,2023-06-10 13:44:08.605,72151.0,2.0,,,,,,,,,,,,,,,,,,
118,oauth2client,googleapis/oauth2client,auth,,https://github.com/googleapis/oauth2client,https://github.com/googleapis/oauth2client,Apache-2.0,2013-11-07 18:03:04.000,2023-06-16 13:21:07.089,2018-09-07 21:33:19,1482.0,437,101.0,449.0,2.0,303.0,798,This is a Python library for accessing resources protected by OAuth 2.0.,96046.0,90198.0,89.0,35,False,,,2018-09-07 21:38:16.000,4.1.3,44.0,,14009244.0,conda-forge/oauth2client,oauth2client,https://pypi.org/project/oauth2client,2018-09-07 21:38:16.000,5848.0,13999608.0,https://anaconda.org/conda-forge/oauth2client,2023-06-16 13:21:07.089,809501.0,2.0,,,,,,,,,,,,,,,,,,
119,httplib2,httplib2/httplib2,http-clients,,https://github.com/httplib2/httplib2,https://github.com/httplib2/httplib2,MIT,2016-03-02 22:59:52.000,2023-06-16 13:17:06.741,2023-03-21 22:23:06,551.0,196,27.0,121.0,59.0,68.0,470,"Small, fast HTTP client library for Python. Features persistent connections, cache, and Google App Engine support...",167174.0,151190.0,77.0,35,True,,,2023-03-21 22:31:05.208,0.22.0,39.0,,30357690.0,conda-forge/httplib2,httplib2,https://pypi.org/project/httplib2,2023-03-21 22:31:05.208,15984.0,30328226.0,https://anaconda.org/conda-forge/httplib2,2023-06-16 13:17:06.741,2563413.0,2.0,,,,,,,,,,,,,,,,,,
120,Requests-HTML,psf/requests-html,html-processing,,https://github.com/psf/requests-html,https://github.com/psf/requests-html,MIT,2018-02-24 20:11:02.000,2023-06-21 14:24:42.000,2023-04-03 17:09:56,462.0,960,276.0,159.0,204.0,216.0,13238,Pythonic HTML Parsing for Humans.,11942.0,11562.0,66.0,34,True,,,2019-02-18 21:38:41.000,0.10.0,36.0,,587056.0,,requests-html,https://pypi.org/project/requests-html,2019-02-17 20:14:17.000,380.0,587056.0,,,,2.0,,,,,,,,,,,,,,,,,,
121,Zappa,Miserlou/Zappa,serverless,,https://github.com/Miserlou/Zappa,https://github.com/Miserlou/Zappa,MIT,2016-01-20 21:57:04.000,2023-03-23 13:59:31.000,2021-02-20 16:10:31,2916.0,1271,254.0,945.0,702.0,670.0,11902,Serverless Python.,400.0,,260.0,34,False,,,2023-05-19 02:58:02.505,0.57.0,132.0,319.0,114759.0,,zappa,https://pypi.org/project/zappa,2022-12-03 09:22:00.602,400.0,114754.0,,,,2.0,,,,,,,,,,,,,,,,,,
122,graphene-django,graphql-python/graphene-django,graphql,,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25.000,2023-07-19 21:22:19.000,2023-07-18 17:35:51,932.0,745,72.0,585.0,135.0,658.0,4111,"Build powerful, efficient, and flexible GraphQL APIs with seamless Django integration.",13814.0,13316.0,212.0,34,True,"['django', 'graphql']",39.0,2023-07-18 12:17:02.630,3.1.3,60.0,,397954.0,conda-forge/graphene-django,graphene-django,https://pypi.org/project/graphene-django,2020-12-31 06:55:57.000,498.0,397266.0,https://anaconda.org/conda-forge/graphene-django,2023-06-16 19:17:55.943,28211.0,2.0,,,,,,,,,,,,,,,,,,
123,django-tastypie,django-tastypie/django-tastypie,web-frameworks,,https://github.com/django-tastypie/django-tastypie,https://github.com/django-tastypie/django-tastypie,BSD-3-Clause,2010-03-29 06:01:45.000,2023-06-08 08:22:40.000,2023-04-11 00:57:44,1290.0,1261,126.0,832.0,407.0,522.0,3857,Creating delicious APIs for Django apps since 2010.,7893.0,5360.0,200.0,34,True,['django'],,2023-01-26 00:16:26.000,0.14.5,26.0,,64698.0,,django-tastypie,https://pypi.org/project/django-tastypie,2023-01-24 18:15:52.586,2533.0,64698.0,,,,2.0,,,,,,,,,,,,,,,,,,
124,SeleniumBase,seleniumbase/SeleniumBase,testing,,https://github.com/seleniumbase/SeleniumBase,https://github.com/seleniumbase/SeleniumBase,MIT,2014-03-04 23:07:33.000,2023-07-20 15:16:26.000,2023-07-20 15:10:03,7942.0,811,124.0,989.0,2.0,759.0,3397,Pythons best framework for browser automation and testing.,762.0,756.0,36.0,34,True,,234.0,2023-07-20 15:16:26.000,4.16.2,835.0,,379739.0,,seleniumbase,https://pypi.org/project/seleniumbase,2023-07-20 15:16:26.000,6.0,379739.0,,,,2.0,,,,,,,,,,,,,,,,,,
125,drf-yasg,axnsan12/drf-yasg,openapi-utils,,https://github.com/axnsan12/drf-yasg,https://github.com/axnsan12/drf-yasg,BSD-3-Clause,2017-11-29 10:30:22.000,2023-07-20 14:29:45.000,2023-07-20 14:29:45,530.0,427,33.0,251.0,241.0,404.0,3133,Automated generation of real Swagger/OpenAPI 2.0 schemas from Django REST Framework code.,91667.0,91286.0,66.0,34,True,"['openapi', 'django']",1.0,2023-07-20 13:47:31.000,1.21.7,62.0,,1562638.0,conda-forge/drf-yasg,drf-yasg,https://pypi.org/project/drf-yasg,2023-07-20 13:47:31.000,381.0,1562456.0,https://anaconda.org/conda-forge/drf-yasg,2023-06-16 19:21:08.460,6561.0,2.0,,,,,,,,,,,,,,,,,,
126,django-oauth-toolkit,jazzband/django-oauth-toolkit,auth,,https://github.com/jazzband/django-oauth-toolkit,https://github.com/jazzband/django-oauth-toolkit,BSD-3-Clause,2013-05-20 15:46:18.000,2023-07-17 23:20:03.000,2023-07-17 23:20:03,1256.0,750,68.0,529.0,181.0,603.0,2855,OAuth2 goodies for the Djangonauts!.,1050.0,,229.0,34,True,['django'],12.0,2023-05-31 21:05:41.654,2.3.0,44.0,,430232.0,,django-oauth-toolkit,https://pypi.org/project/django-oauth-toolkit,2023-05-31 21:05:41.654,1050.0,430232.0,,,,2.0,,,,,,,,,,,,,,,,,,
127,splinter,cobrateam/splinter,testing,,https://github.com/cobrateam/splinter,https://github.com/cobrateam/splinter,BSD-3-Clause,2010-09-18 20:59:15.000,2023-07-11 08:34:40.000,2023-07-07 00:44:20,2212.0,510,96.0,661.0,59.0,469.0,2642,splinter - python test framework for web applications.,7499.0,6422.0,177.0,34,True,,15.0,2023-01-17 23:36:01.122,0.19.0,49.0,,78094.0,,splinter,https://pypi.org/project/splinter,2023-01-17 23:36:01.122,1077.0,78094.0,,,,2.0,,,,,,,,,,,,,,,,,,
128,autobahn-python,crossbario/autobahn-python,websocket,,https://github.com/crossbario/autobahn-python,https://github.com/crossbario/autobahn-python,MIT,2011-07-27 15:22:13.000,2023-06-14 11:29:38.363,2023-06-14 07:25:55,3332.0,769,104.0,736.0,182.0,704.0,2431,WebSocket and WAMP in Python for Twisted and asyncio.,28533.0,26578.0,132.0,34,True,,2.0,2023-06-14 07:28:02.363,23.6.2,155.0,,1093844.0,conda-forge/autobahn,autobahn,https://pypi.org/project/autobahn,2023-01-15 22:15:48.050,1955.0,1082100.0,https://anaconda.org/conda-forge/autobahn,2023-06-14 11:29:38.363,434548.0,2.0,,,,,,,,,,,,,,,,,,
129,django-bootstrap3,zostera/django-bootstrap3,django-utils,,https://github.com/zostera/django-bootstrap3,https://github.com/zostera/django-bootstrap3,BSD-3-Clause,2013-08-13 13:48:04.000,2023-06-28 18:59:39.000,2023-06-28 18:59:37,1023.0,694,107.0,593.0,5.0,291.0,2318,Bootstrap 3 integration with Django.,22387.0,18403.0,99.0,34,True,['django'],59.0,2021-04-10 05:34:25.000,15.0.0,99.0,,90324.0,conda-forge/django-bootstrap3,django-bootstrap3,https://pypi.org/project/django-bootstrap3,2023-06-28 04:34:01.228,3984.0,89938.0,https://anaconda.org/conda-forge/django-bootstrap3,2023-06-16 13:24:31.399,27049.0,2.0,,,,,,,,,,,,,,,,,,
130,djoser,sunscrapers/djoser,auth,,https://github.com/sunscrapers/djoser,https://github.com/sunscrapers/djoser,MIT,2014-09-30 14:50:08.000,2023-07-20 12:20:09.000,2023-07-03 15:56:34,915.0,450,37.0,305.0,169.0,299.0,2315,REST implementation of Django authentication system.,19114.0,18899.0,108.0,34,True,['django'],31.0,2023-04-16 11:43:00.533,2.2.0,50.0,,198245.0,,djoser,https://pypi.org/project/djoser,2020-10-30 15:52:25.000,215.0,198245.0,,,,2.0,,,,,,,,,,,,,,,,,,
131,ariadne,mirumee/ariadne,graphql,,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17.000,2023-06-27 14:25:22.000,2023-06-27 14:21:08,1679.0,170,39.0,628.0,50.0,246.0,2053,Python library for implementing GraphQL servers using schema-first approach.,1338.0,1293.0,69.0,34,True,['graphql'],102.0,2023-06-27 14:27:03.924,0.20.1,47.0,,298942.0,,ariadne,https://pypi.org/project/ariadne,2022-04-22 12:55:33.000,45.0,298942.0,,,,2.0,,,,,,,,,,,,,,,,,,
132,xhtml2pdf,xhtml2pdf/xhtml2pdf,html-processing,,https://github.com/xhtml2pdf/xhtml2pdf,https://github.com/xhtml2pdf/xhtml2pdf,Apache-2.0,2011-05-16 13:45:29.000,2023-07-19 02:05:58.812,2023-06-16 22:35:01,1065.0,615,71.0,311.0,124.0,267.0,2049,A library for converting HTML into PDFs using ReportLab.,12507.0,11674.0,154.0,34,True,,5.0,2023-05-07 15:58:17.000,0.2.11,27.0,6.0,515890.0,conda-forge/xhtml2pdf,xhtml2pdf,https://pypi.org/project/xhtml2pdf,2023-05-07 15:58:03.115,833.0,513457.0,https://anaconda.org/conda-forge/xhtml2pdf,2023-07-19 02:05:58.812,85166.0,2.0,,,,,,,,,,,,,,,,,,
133,django-autocomplete-light,yourlabs/django-autocomplete-light,django-utils,,https://github.com/yourlabs/django-autocomplete-light,https://github.com/yourlabs/django-autocomplete-light,MIT,2012-05-03 11:49:37.000,2023-06-01 10:28:25.000,2023-06-01 10:29:42,2396.0,462,66.0,489.0,203.0,638.0,1706,"A fresh approach to autocomplete implementations, specially for Django. Status: v4 alpha, v3 stable, v2 & v1 deprecated.",4459.0,3712.0,193.0,34,True,['django'],9.0,2023-05-12 16:00:39.776,3.9.7,221.0,,289542.0,,django-autocomplete-light,https://pypi.org/project/django-autocomplete-light,2022-09-09 20:48:09.964,747.0,289542.0,,,,2.0,,,,,,,,,,,,,,,,,,
134,CherryPy,cherrypy/cherrypy,web-frameworks,,https://github.com/cherrypy/cherrypy,https://github.com/cherrypy/cherrypy,BSD-3-Clause,2015-11-02 23:24:05.416,2023-06-16 13:06:07.509,2023-05-04 23:04:12,4469.0,352,54.0,233.0,248.0,1514.0,1694,"CherryPy is a pythonic, object-oriented HTTP framework. https://cherrypy.dev.",21723.0,11381.0,141.0,34,True,,1.0,2022-07-17 20:42:13.606,18.8.0,119.0,,1067250.0,anaconda/cherrypy,cherrypy,https://pypi.org/project/cherrypy,2022-07-17 20:42:13.606,10342.0,1067035.0,https://anaconda.org/anaconda/cherrypy,2023-06-16 13:06:07.509,19815.0,2.0,,,,,,,,,,,,,,,,,,
135,waitress,Pylons/waitress,servers,,https://github.com/Pylons/waitress,https://github.com/Pylons/waitress,ZPL-2.1,2011-12-17 06:58:21.000,2023-06-16 16:07:27.834,2023-04-06 05:12:58,981.0,159,37.0,188.0,19.0,204.0,1276,Waitress - A WSGI server for Python 3.,145093.0,141501.0,51.0,34,False,,,2022-05-30 21:53:26.000,2.1.2,49.0,,4016448.0,conda-forge/waitress,waitress,https://pypi.org/project/waitress,2016-10-22 19:45:20.000,3592.0,4014143.0,https://anaconda.org/conda-forge/waitress,2023-06-16 16:07:27.834,142928.0,2.0,,,,,,,,,,,,,,,,,,
136,PySocks,Anorov/PySocks,others,,https://github.com/Anorov/PySocks,https://github.com/Anorov/PySocks,BSD-3-Clause,2012-02-21 09:10:49.000,2023-07-17 05:15:25.000,2019-09-20 02:47:40,230.0,262,50.0,61.0,56.0,62.0,1162,A SOCKS proxy client and wrapper for Python.,130424.0,126774.0,32.0,34,False,,,2019-09-20 02:06:20.000,1.7.1,19.0,,13312846.0,conda-forge/pysocks,pysocks,https://pypi.org/project/pysocks,2019-09-20 02:06:20.000,3650.0,12881606.0,https://anaconda.org/conda-forge/pysocks,2023-06-16 13:22:53.016,35792993.0,2.0,,,,,,,,,,,,,,,,,,
137,apispec,marshmallow-code/apispec,openapi-utils,,https://github.com/marshmallow-code/apispec,https://github.com/marshmallow-code/apispec,MIT,2014-10-18 23:48:49.000,2023-07-18 00:18:23.000,2023-07-11 07:40:00,1627.0,166,25.0,587.0,32.0,235.0,1045,A pluggable API specification generator. Currently supports the OpenAPI Specification (f.k.a. the Swagger..,16454.0,9326.0,83.0,34,True,['openapi'],9.0,2023-03-10 08:20:45.086,6.3.0,111.0,,4543752.0,conda-forge/apispec,apispec,https://pypi.org/project/apispec,2023-03-10 08:20:45.086,7128.0,4528291.0,https://anaconda.org/conda-forge/apispec,2023-06-25 18:51:49.542,572083.0,2.0,,,,,,,,,,,,,,,,,,
138,django-bootstrap4,zostera/django-bootstrap4,django-utils,,https://github.com/zostera/django-bootstrap4,https://github.com/zostera/django-bootstrap4,BSD-3-Clause,2017-04-25 15:55:15.000,2023-06-28 12:32:29.000,2023-06-28 12:15:08,1169.0,258,40.0,489.0,20.0,140.0,1005,Bootstrap 4 integration with Django.,128756.0,127759.0,138.0,34,True,['django'],46.0,2021-05-20 08:44:02.000,3.0.1,27.0,,177778.0,conda-forge/django-bootstrap4,django-bootstrap4,https://pypi.org/project/django-bootstrap4,2022-03-07 10:16:50.000,997.0,177395.0,https://anaconda.org/conda-forge/django-bootstrap4,2023-06-16 16:13:38.994,24519.0,2.0,,,,,,,,,,,,,,,,,,
139,pymdown-extensions,facelessuser/pymdown-extensions,markdown,,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,MIT,2014-11-21 06:08:04.000,2023-07-20 10:38:05.000,2023-07-17 15:17:17,1702.0,245,9.0,1713.0,7.0,328.0,780,Extensions for Python Markdown.,22475.0,22314.0,43.0,34,True,,14.0,2023-07-13 18:01:54.000,10.1.0,80.0,,1561170.0,conda-forge/pymdown-extensions,pymdown-extensions,https://pypi.org/project/pymdown-extensions,2023-07-13 18:05:07.431,161.0,1557017.0,https://anaconda.org/conda-forge/pymdown-extensions,2023-07-13 22:01:57.000,145379.0,2.0,,,,,,,,,,,,,,,,,,
140,idna,kjd/idna,others,,https://github.com/kjd/idna,https://github.com/kjd/idna,BSD-3-Clause,2013-05-27 22:22:13.000,2023-06-19 22:15:12.000,2023-06-19 22:14:27,266.0,78,16.0,69.0,8.0,74.0,216,Internationalized Domain Names for Python (IDNA 2008 and UTS #46).,1387331.0,1348662.0,22.0,34,True,,23.0,,,27.0,,215338404.0,conda-forge/idna,idna,https://pypi.org/project/idna,2022-09-19 21:36:30.273,38669.0,214924414.0,https://anaconda.org/conda-forge/idna,2023-06-16 13:21:56.407,34361224.0,2.0,,,,,,,,,,,,,,,,,,
141,Pattern,clips/pattern,web-scraping,,https://github.com/clips/pattern,https://github.com/clips/pattern,BSD-3-Clause,2011-05-03 15:29:01.000,2023-07-12 09:12:48.000,2020-04-25 12:40:40,1434.0,1596,547.0,128.0,174.0,76.0,8520,"Web mining module for Python, with tools for scraping, natural language processing, machine learning, network analysis..",1939.0,1607.0,30.0,33,False,,,,,9.0,82.0,754665.0,conda-forge/pattern,pattern,https://pypi.org/project/pattern,2021-12-15 14:18:19.789,332.0,754344.0,https://anaconda.org/conda-forge/pattern,2023-06-16 16:18:03.754,14141.0,1.0,,,,,,,,,,,,,,,,,,
142,eve,pyeve/eve,web-frameworks,,https://github.com/pyeve/eve,https://github.com/pyeve/eve,BSD-3-Clause,2012-10-22 07:39:33.000,2023-07-10 07:06:33.000,2023-07-10 07:05:49,3393.0,754,228.0,531.0,24.0,949.0,6620,REST API framework designed for human beings.,1472.0,1092.0,214.0,33,True,,6.0,2023-03-14 08:50:44.188,2.1.0,53.0,,11183.0,,eve,https://pypi.org/project/eve,2022-06-08 13:51:50.000,380.0,11183.0,,,,3.0,,,,,,,,,,,,,,,,,,
143,Flask-SocketIO,miguelgrinberg/Flask-SocketIO,websocket,,https://github.com/miguelgrinberg/Flask-SocketIO,https://github.com/miguelgrinberg/Flask-SocketIO,MIT,2014-02-09 07:22:50.000,2023-06-16 13:23:41.059,2023-06-13 10:02:32,458.0,893,108.0,122.0,9.0,1546.0,5082,Socket.IO integration for Flask applications.,2351.0,,69.0,33,True,['flask'],5.0,2023-05-03 10:36:13.733,5.3.4,86.0,,862422.0,conda-forge/flask-socketio,flask-socketio,https://pypi.org/project/flask-socketio,2022-11-20 12:45:36.702,2351.0,858524.0,https://anaconda.org/conda-forge/flask-socketio,2023-06-16 13:23:41.059,319640.0,2.0,,,,,,,,,,,,,,,,,,
144,Django-Ninja,vitalik/django-ninja,django-utils,,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53.000,2023-07-13 11:15:07.000,2023-07-13 11:15:04,886.0,283,71.0,217.0,182.0,351.0,4649,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1500.0,1483.0,94.0,33,True,,64.0,2023-06-08 15:45:00.713,0.22.2,50.0,,127485.0,conda-forge/django-ninja,django-ninja,https://pypi.org/project/django-ninja,2019-12-04 14:48:07.000,17.0,127073.0,https://anaconda.org/conda-forge/django-ninja,2023-06-18 08:40:31.826,7417.0,2.0,,,,,,,,,,,,,,,,,,
145,spotipy,plamere/spotipy,third-party-apis,,https://github.com/spotipy-dev/spotipy,https://github.com/spotipy-dev/spotipy,MIT,2014-04-05 13:11:25.000,2023-06-16 19:25:00.895,2023-05-02 21:26:40,632.0,896,78.0,402.0,102.0,499.0,4495,A light weight Python library for the Spotify Web API.,19876.0,19254.0,177.0,33,True,,2.0,2023-04-07 17:46:10.000,2.23.0,48.0,,230715.0,conda-forge/spotipy,spotipy,https://pypi.org/project/spotipy,2022-06-18 22:10:01.000,622.0,230343.0,https://anaconda.org/conda-forge/spotipy,2023-06-16 19:25:00.895,10808.0,2.0,,,,,,,,,,spotipy-dev/spotipy,,,,,,,,
146,google-maps-services-python,googlemaps/google-maps-services-python,third-party-apis,,https://github.com/googlemaps/google-maps-services-python,https://github.com/googlemaps/google-maps-services-python,Apache-2.0,2014-08-15 04:35:30.000,2023-07-17 14:04:28.000,2023-01-27 01:01:18,524.0,1237,178.0,234.0,24.0,229.0,4015,Python client library for Google Maps API Web Services.,1200.0,,66.0,33,True,,,2023-01-26 16:46:28.581,4.10.0,51.0,,1526425.0,,googlemaps,https://pypi.org/project/googlemaps,2023-01-26 16:46:28.581,1200.0,1526425.0,,,,2.0,,,,,,,,,,,,,,,,,,
147,pyramid,Pylons/pyramid,web-frameworks,,https://github.com/Pylons/pyramid,https://github.com/Pylons/pyramid,,2010-10-24 22:00:35.000,2023-06-16 13:05:11.275,2023-05-11 06:49:29,11807.0,891,160.0,2681.0,73.0,975.0,3821,Pyramid - A Python web framework.,15954.0,13096.0,346.0,33,False,,2.0,2023-01-30 01:11:32.638,2.0.1,150.0,,2701583.0,pyramid,pyramid,https://pypi.org/project/pyramid,2021-03-01 03:27:45.000,2854.0,2701522.0,https://anaconda.org/anaconda/pyramid,2023-06-16 13:05:11.275,5632.0,3.0,,,,,,,,,,,,,,,,4.0,,
148,httprunner,httprunner/httprunner,testing,,https://github.com/httprunner/httprunner,https://github.com/httprunner/httprunner,Apache-2.0,2017-06-13 03:54:29.000,2023-07-20 15:30:11.000,2023-07-18 06:59:07,3500.0,1216,149.0,357.0,450.0,762.0,3752,HttpRunner API HTTP(S) / HTTP2 / WebSocket / RPC.,520.0,513.0,44.0,33,True,,116.0,2023-07-18 02:53:13.000,4.3.4,151.0,8309.0,3453.0,,httprunner,https://pypi.org/project/httprunner,2022-07-04 14:34:46.000,7.0,3324.0,,,,2.0,,,,,,,,,,,,,,,,,,
149,weblate,WeblateOrg/weblate,others,,https://github.com/WeblateOrg/weblate,https://github.com/WeblateOrg/weblate,GPL-3.0,2012-02-27 09:33:29.000,2023-07-20 15:18:49.000,2023-07-20 15:18:02,58944.0,851,89.0,4274.0,414.0,4397.0,3685,Web based localization tool with tight version control integration.,40.0,29.0,1544.0,33,True,,1279.0,2023-06-30 12:25:08.000,weblate-4.18.2,109.0,3955.0,3110.0,,weblate,https://pypi.org/project/weblate,2023-01-25 17:03:32.107,11.0,3028.0,,,,2.0,,,,,,,,,,,,,,,,,,
