,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,labels,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads,conda_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,brew_id,maven_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,apt_id,licenses
484,asgi-lifespan,florimondmanca/asgi-lifespan,others,,https://github.com/florimondmanca/asgi-lifespan,https://github.com/florimondmanca/asgi-lifespan,MIT,2019-09-27 19:42:10.000,2023-06-16 19:25:31.174,2023-06-06 19:50:56,90.0,10,4.0,44.0,,16.0,158,Programmatic startup/shutdown of ASGI apps.,13012.0,12986.0,6.0,23,True,,1.0,2023-03-28 17:37:00.954,2.1.0,15.0,,322283.0,conda-forge/asgi-lifespan,asgi-lifespan,https://pypi.org/project/asgi-lifespan,2023-03-28 17:37:00.954,26.0,319528.0,https://anaconda.org/conda-forge/asgi-lifespan,2023-06-16 19:25:31.174,74393.0,3.0,,,,,,,,,,,,,,,,,,
485,trame,Kitware/trame,web-ui,,https://github.com/Kitware/trame,https://github.com/Kitware/trame,Apache-2.0,2021-09-24 21:38:47.000,2023-07-20 01:53:34.000,2023-07-20 01:15:25,193.0,35,11.0,47.0,8.0,34.0,158,Trame lets you weave various components and technologies into a Web Application solely written in Python.,15.0,,15.0,23,True,,33.0,2023-07-20 01:15:31.000,2.5.2,118.0,148.0,9818.0,,trame,https://pypi.org/project/trame,2023-07-20 01:15:28.000,15.0,9811.0,,,,3.0,,,,,,,,,,,,,,,,,,
486,streaming-form-data,siddhantgoel/streaming-form-data,others,,https://github.com/siddhantgoel/streaming-form-data,https://github.com/siddhantgoel/streaming-form-data,MIT,2017-02-09 19:43:21.000,2023-07-16 15:29:19.000,2023-07-16 15:29:12,545.0,30,6.0,51.0,6.0,28.0,130,Streaming parser for multipart/form-data written in Cython.,71.0,67.0,17.0,23,True,,36.0,2023-05-13 10:45:00.640,1.12.0,37.0,,27834.0,,streaming-form-data,https://pypi.org/project/streaming-form-data,2022-10-06 19:04:00.923,4.0,27834.0,,,,3.0,,,,,,,,,,,,,,,,,,
487,markdown-include,cmacmackin/markdown-include,markdown,,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35.000,2023-06-16 19:23:30.014,2023-02-07 09:45:37,75.0,40,9.0,21.0,11.0,15.0,90,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,5050.0,4788.0,12.0,23,True,,,2023-02-07 09:49:00.957,0.8.1,14.0,,62959.0,conda-forge/markdown-include,markdown-include,https://pypi.org/project/markdown-include,2023-02-07 09:49:00.957,262.0,62405.0,https://anaconda.org/conda-forge/markdown-include,2023-06-16 19:23:30.014,17744.0,3.0,,,,,,,,,,,,,,,,,,
488,vibora,vibora-io/vibora,web-frameworks,,https://github.com/vibora-io/vibora,https://github.com/vibora-io/vibora,MIT,2018-06-13 15:58:58.000,2020-12-23 01:00:55.000,2019-02-11 10:54:12,141.0,316,257.0,103.0,145.0,57.0,5716,"Fast, asynchronous and elegant Python web framework.",109.0,95.0,28.0,22,False,,,2018-06-16 04:25:57.000,0.0.6,8.0,,102.0,,vibora,https://pypi.org/project/vibora,2018-06-16 04:25:57.000,14.0,102.0,,,,3.0,,,,,,,,,,,,,,,,,,
489,requestium,tryolabs/requestium,testing,,https://github.com/tryolabs/requestium,https://github.com/tryolabs/requestium,BSD-3-Clause,2017-06-30 19:07:16.000,2023-04-30 16:37:46.000,2023-04-30 16:37:21,112.0,144,72.0,39.0,3.0,28.0,1750,Integration layer between Requests and Selenium for automation of web actions.,90.0,83.0,14.0,22,True,,1.0,2023-04-30 16:40:00.381,0.2.1,20.0,,19452.0,,requestium,https://pypi.org/project/requestium,2022-12-04 03:23:00.534,7.0,19452.0,,,,3.0,,,,,,,,,,,,,,,,,,
490,gmail,charlierguo/gmail,email,,https://github.com/charlierguo/gmail,https://github.com/charlierguo/gmail,MIT,2013-07-29 03:46:41.000,2023-07-09 19:49:08.000,2014-02-04 22:59:23,73.0,358,91.0,40.0,58.0,10.0,1719,A Pythonic interface for Google Mail.,22.0,,14.0,22,False,,,2017-08-07 19:59:52.000,0.6.3,10.0,,9167.0,,gmail,https://pypi.org/project/gmail,2017-08-07 19:59:52.000,22.0,9167.0,,,,3.0,,,,,,,,,,,,,,,,,,
491,Flask-MonitoringDashboard,flask-dashboard/Flask-MonitoringDashboard,monitoring,,https://github.com/flask-dashboard/Flask-MonitoringDashboard,https://github.com/flask-dashboard/Flask-MonitoringDashboard,MIT,2017-04-11 13:50:14.000,2023-07-18 23:34:35.000,2023-03-03 14:51:57,1313.0,141,19.0,251.0,53.0,128.0,702,Automatically monitor the evolving performance of Flask/Python web services.,13.0,,32.0,22,True,['flask'],,2021-11-06 10:10:29.000,3.1.1,45.0,,6669.0,,flask-monitoringdashboard,https://pypi.org/project/flask-monitoringdashboard,2021-11-06 10:10:29.000,13.0,6669.0,,,,3.0,,,,,,,,,,,,,,,,,,
492,html5-parser,kovidgoyal/html5-parser,html-processing,,https://github.com/kovidgoyal/html5-parser,https://github.com/kovidgoyal/html5-parser,Apache-2.0,2017-06-03 06:56:36.000,2023-04-12 05:10:52.887,2023-04-12 05:07:46,339.0,35,17.0,7.0,1.0,21.0,648,Fast C based HTML 5 parsing for python.,17.0,,6.0,22,True,,,2023-04-12 05:10:52.887,0.4.11,20.0,,84796.0,,html5-parser,https://pypi.org/project/html5-parser,2023-04-12 05:10:52.887,17.0,84796.0,,,,3.0,6.0,,,,,,,,,,,,,,,,,
493,fastapi-sqlalchemy,mfreeborn/fastapi-sqlalchemy,fastapi-utils,,https://github.com/mfreeborn/fastapi-sqlalchemy,https://github.com/mfreeborn/fastapi-sqlalchemy,MIT,2019-11-03 16:30:26.000,2023-02-14 21:41:04.000,2022-09-25 17:19:06,53.0,33,12.0,25.0,11.0,9.0,518,Adds simple SQLAlchemy support to FastAPI.,1412.0,1404.0,5.0,22,True,['fastapi'],,2020-09-25 16:26:29.000,0.2.1,9.0,,94429.0,,fastapi-sqlalchemy,https://pypi.org/project/fastapi-sqlalchemy,2020-09-25 16:26:29.000,8.0,94429.0,,,,2.0,,,,,,,,,,,,,,,,,,
494,molotov,loads/molotov,testing,,https://github.com/tarekziade/molotov,https://github.com/tarekziade/molotov,Apache-2.0,2015-05-04 09:17:25.000,2023-07-18 06:58:53.000,2023-07-18 06:58:50,489.0,31,16.0,42.0,15.0,98.0,434,Load Testing Tool.,127.0,114.0,16.0,22,True,,6.0,2017-03-22 08:05:08.000,0.6.2,21.0,,25704.0,,molotov,https://pypi.org/project/molotov,2022-10-21 18:37:01.226,13.0,25704.0,,,,3.0,,,,,,,,,,tarekziade/molotov,,,,,,,,
