,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,labels,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads,conda_id,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,brew_id,maven_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,conda_dependent_project_count,new_addition,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,licenses,apt_id
442,flask-s3,e-dard/flask-s3,,flask-utils,https://github.com/e-dard/flask-s3,https://github.com/e-dard/flask-s3,WTFPL,2012-10-01 18:08:11.000000,2021-06-04 09:34:30.000000,2017-07-19 05:38:58.000000,87.0,14.0,34.0,183.0,157.0,Seamlessly serve your static assets of your Flask app from Amazon S3.,26.0,22,False,,2017-02-23 20:44:59.000000,0.3.3,28.0,20.0,6695.0,,flask-s3,500.0,332.0,https://pypi.org/project/flask-s3,2017-02-23 20:44:59.000000,168.0,6695.0,,,,3.0,,,,,,,,,,,,,,,,,,,
443,flask-rebar,plangrid/flask-rebar,,flask-utils,https://github.com/plangrid/flask-rebar,https://github.com/plangrid/flask-rebar,MIT,2018-02-26 17:39:13.000000,2021-06-30 00:10:02.000000,2021-06-30 00:09:19.000000,30.0,46.0,44.0,176.0,255.0,"Flask-Rebar combines flask, marshmallow, and swagger for robust REST services.",32.0,22,True,"['flask', 'openapi']",2021-05-17 14:33:22.000000,1.12.3,34.0,,2648.0,,flask-rebar,34.0,28.0,https://pypi.org/project/flask-rebar,2021-06-14 18:14:01.000000,6.0,2648.0,,,,3.0,,,,,,,,,,,,,,,,,,,
444,reppy,seomoz/reppy,,others,https://github.com/seomoz/reppy,https://github.com/seomoz/reppy,MIT,2011-10-29 00:06:46.000000,2020-03-12 22:32:22.000000,2020-03-12 22:31:33.000000,31.0,18.0,35.0,163.0,265.0,Modern robots.txt Parser for Python.,23.0,22,False,,2019-09-16 19:32:19.000000,0.4.14,24.0,,9542.0,,reppy,177.0,113.0,https://pypi.org/project/reppy,2019-09-16 19:32:19.000000,64.0,9542.0,,,,3.0,,,,,,,,,,,,,,,,,,,
445,Flask-Opentracing,opentracing-contrib/python-flask,,flask-utils,https://github.com/opentracing-contrib/python-flask,https://github.com/opentracing-contrib/python-flask,BSD-3-Clause,2016-07-20 17:14:48.000000,2021-06-16 09:09:46.000000,2019-10-22 00:14:18.000000,39.0,18.0,13.0,119.0,66.0,OpenTracing instrumentation for the Flask microframework.,15.0,22,False,['flask'],2019-10-22 00:20:30.000000,1.1.0,12.0,,73436.0,,Flask-Opentracing,197.0,157.0,https://pypi.org/project/Flask-Opentracing,2019-10-22 00:20:30.000000,40.0,73436.0,,,,3.0,,,,,,,,,,,,,,,,,,,
446,pyramid_mailer,Pylons/pyramid_mailer,,email,https://github.com/Pylons/pyramid_mailer,https://github.com/Pylons/pyramid_mailer,BSD-3-Clause,2011-09-26 01:17:42.000000,2021-05-15 21:42:07.000000,2021-05-15 21:42:07.000000,41.0,9.0,33.0,51.0,387.0,A package for sending email from your Pyramid application.,35.0,22,True,['pyramid'],2016-12-13 20:48:50.000000,0.15.1,24.0,,26717.0,,pyramid_mailer,188.0,,https://pypi.org/project/pyramid_mailer,2016-12-13 20:48:50.000000,188.0,26717.0,,,,3.0,,,,,,,,,,,,,,,,,,,
447,Photon,s0md3v/Photon,,web-scraping,https://github.com/s0md3v/Photon,https://github.com/s0md3v/Photon,GPL-3.0,2018-03-30 19:38:22.000000,2021-05-02 18:16:28.000000,2019-12-06 14:59:47.000000,1138.0,38.0,66.0,7965.0,324.0,Incredibly fast crawler designed for OSINT.,21.0,21,False,,2019-04-05 15:15:47.000000,1.3.0,18.0,,347.0,,photon,5.0,,https://pypi.org/project/photon,2019-01-25 01:13:36.000000,5.0,347.0,,,,3.0,,,,,,,,,,,,,,,,,,,
448,ngxtop,lebinh/ngxtop,,monitoring,https://github.com/lebinh/ngxtop,https://github.com/lebinh/ngxtop,MIT,2014-03-21 15:39:52.000000,2020-12-21 01:02:13.000000,2020-12-21 00:59:19.000000,462.0,62.0,27.0,6150.0,40.0,Real-time metrics for nginx server.,9.0,21,True,,2020-12-21 00:51:09.000000,0.0.3,3.0,,6243.0,,ngxtop,47.0,29.0,https://pypi.org/project/ngxtop,2020-12-21 00:51:09.000000,18.0,6243.0,,,,3.0,,,,,,,,,,,,,,,,,,,
449,vibora,vibora-io/vibora,,web-frameworks,https://github.com/vibora-io/vibora,https://github.com/vibora-io/vibora,MIT,2018-06-13 15:58:58.000000,2020-12-23 01:00:55.000000,2019-02-11 10:54:12.000000,316.0,145.0,55.0,5722.0,141.0,"Fast, asynchronous and elegant Python web framework.",28.0,21,False,,2017-09-04 00:40:01.000000,0.1.0,8.0,,611.0,,vibora,92.0,66.0,https://pypi.org/project/vibora,2018-06-16 04:25:57.000000,26.0,611.0,,,,3.0,,,,,,,,,,,,,,,,,,,
450,maltrail,stamparm/maltrail,,others,https://github.com/stamparm/maltrail,https://github.com/stamparm/maltrail,MIT,2014-12-04 21:33:46.000000,2021-07-01 14:51:07.000000,2021-06-30 12:22:29.000000,774.0,68.0,230.0,4059.0,63108.0,Malicious traffic detection system.,30.0,21,True,,2021-06-08 12:08:40.000000,0.34,23.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
451,AutoScraper,alirezamika/autoscraper,,web-scraping,https://github.com/alirezamika/autoscraper,https://github.com/alirezamika/autoscraper,MIT,2020-08-31 12:02:19.000000,2021-02-03 21:12:16.000000,2021-02-03 21:12:16.000000,352.0,6.0,31.0,3594.0,134.0,"A Smart, Automatic, Fast and Lightweight Web Scraper for Python.",6.0,21,True,,2021-01-23 17:11:12.000000,1.1.12,15.0,,1869.0,,autoscraper,60.0,60.0,https://pypi.org/project/autoscraper,2021-01-23 17:11:12.000000,,1869.0,,,,3.0,,,,,,,,,,,,,,,,,,,
452,toapi,gaojiuli/toapi,,others,https://github.com/gaojiuli/toapi,https://github.com/gaojiuli/toapi,MIT,2017-11-27 08:40:55.000000,2021-06-28 01:58:50.000000,2021-06-28 01:58:45.000000,230.0,8.0,48.0,3152.0,462.0,Every web site provides APIs.,12.0,21,True,,2021-06-28 01:56:50.000000,2.1.3,40.0,,249.0,,toapi,8.0,,https://pypi.org/project/toapi,2021-06-28 01:56:50.000000,8.0,249.0,,,,3.0,2.0,,,,,,,,,,,,,,,,,,
453,gmail,charlierguo/gmail,,email,https://github.com/charlierguo/gmail,https://github.com/charlierguo/gmail,MIT,2013-07-29 03:46:41.000000,2021-03-02 05:41:37.000000,2014-02-04 22:59:23.000000,325.0,55.0,10.0,1646.0,73.0,A Pythonic interface for Google Mail.,14.0,21,False,,2017-08-07 19:59:52.000000,0.6.3,10.0,,9415.0,,gmail,34.0,,https://pypi.org/project/gmail,2017-08-07 19:59:52.000000,34.0,9415.0,,,,3.0,,,,,,,,,,,,,,,,,,,
454,Wooey,wooey/wooey,,web-ui,https://github.com/wooey/Wooey,https://github.com/wooey/Wooey,BSD-3-Clause,2015-03-01 16:47:05.000000,2020-08-23 15:14:54.000000,2020-08-23 15:14:53.000000,168.0,54.0,142.0,1612.0,887.0,A Django app that creates automatic web UIs for Python scripts.,22.0,21,True,,2020-04-16 02:58:59.000000,0.12.0,30.0,,239.0,,wooey,31.0,30.0,https://pypi.org/project/wooey,2020-04-16 02:56:01.000000,1.0,239.0,,,,3.0,,,,,,,,,,,,,,,,,,,
455,Django-Ninja,vitalik/django-ninja,,django-utils,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53.000000,2021-06-29 07:31:14.000000,2021-06-24 10:23:45.000000,74.0,39.0,82.0,1239.0,315.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",22.0,21,True,,2021-06-05 15:54:17.000000,0.13.2,35.0,,7227.0,,django-ninja,0.0,,https://pypi.org/project/django-ninja,2021-06-05 15:55:00.000000,0.0,7227.0,,,,3.0,,,,,,,,,,,,,,,,,,,
456,emmett,emmett-framework/emmett,,web-frameworks,https://github.com/emmett-framework/emmett,https://github.com/emmett-framework/emmett,BSD-3-Clause,2014-10-20 20:23:26.000000,2021-06-29 07:06:18.000000,2021-06-29 07:06:11.000000,57.0,29.0,246.0,665.0,1400.0,The web framework for inventors.,20.0,21,True,,2021-06-21 13:28:04.000000,2.2.3,85.0,,449.0,,emmett,10.0,10.0,https://pypi.org/project/emmett,2021-06-21 13:28:04.000000,0.0,449.0,,,,3.0,,,,,,,,,,,,,,,,,,,
457,flask-profiler,muatik/flask-profiler,,flask-utils,https://github.com/muatik/flask-profiler,https://github.com/muatik/flask-profiler,MIT,2015-10-05 20:49:53.000000,2021-03-19 22:05:41.000000,2020-10-20 08:42:33.000000,81.0,27.0,31.0,644.0,157.0,a flask profiler which watches endpoint calls and tries to make some analysis.,29.0,21,True,['flask'],2018-11-19 23:11:10.000000,1.8.1,39.0,,13916.0,,flask-profiler,12.0,,https://pypi.org/project/flask-profiler,2018-11-19 23:11:10.000000,12.0,13916.0,,,,3.0,,,,,,,,,,,,,,,,,,,
458,Model Bakery,model-bakers/model_bakery,,testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,Apache-2.0,2019-10-08 12:49:08.000000,2021-06-28 17:57:24.000000,2021-06-28 17:57:24.000000,47.0,23.0,67.0,391.0,,Object factory for Django.,30.0,21,True,['django'],2021-06-13 10:51:19.000000,1.3.2,10.0,,162492.0,,model_bakery,8.0,,https://pypi.org/project/model_bakery,2021-06-13 10:51:19.000000,8.0,162492.0,,,,3.0,,,,,,,,,,,,,,,,,,,
459,django-csp,mozilla/django-csp,,django-utils,https://github.com/mozilla/django-csp,https://github.com/mozilla/django-csp,BSD-3-Clause,2010-07-14 18:00:59.000000,2021-05-08 00:47:58.000000,2021-01-04 22:52:20.000000,76.0,14.0,71.0,377.0,217.0,Content Security Policy for Django.,43.0,21,True,['django'],2013-11-19 23:16:37.000000,2.0.3,12.0,,179078.0,,django-csp,0.0,,https://pypi.org/project/django-csp,2020-08-12 18:50:34.000000,0.0,179078.0,,,,3.0,,,,,,,,,,,,,,,,,,,
